x,y,z,w,rho,grad,tau,exchange,reference
-3.304249097831800E-05,-2.101813156419000E-05,-7.021844348308900E-01,7.944583369846700E-15,3.420427735571100E-01,1.934514410854900E-01,1.367645472701500E-02,-1.536191065763600E-01,-1.986090119049260E-02
3.304249097831800E-05,2.101813156419000E-05,-7.022264710940200E-01,7.944583369846700E-15,3.420346384441000E-01,1.936008274550300E-01,1.369791103679300E-02,-1.536136868515700E-01,-1.986051792694930E-02
-3.304249097831800E-05,2.101813156419000E-05,-7.022264710940200E-01,7.944583369846700E-15,3.420346384441000E-01,1.936008274550300E-01,1.369791103679300E-02,-1.536136868515700E-01,-1.986051792694930E-02
3.304249097831800E-05,-2.101813156419000E-05,-7.022264710940200E-01,7.944583369846700E-15,3.420346384441000E-01,1.936008274550300E-01,1.369791103679300E-02,-1.536136868515700E-01,-1.986051792694930E-02
-3.304249097831800E-05,-2.101813156419000E-05,-7.022264710940200E-01,7.944583369846700E-15,3.420346384441000E-01,1.936008274550300E-01,1.369791103679300E-02,-1.536136868515700E-01,-1.986051792694930E-02
4.274826810725400E-06,4.274826810725400E-06,-7.021614213643600E-01,5.224455729841100E-15,3.420472275082000E-01,1.933695974142900E-01,1.366470701888200E-02,-1.536220738755500E-01,-1.986111103374920E-02
-4.274826810725400E-06,4.274826810725400E-06,-7.021614213643600E-01,5.224455729841100E-15,3.420472275082000E-01,1.933695974142900E-01,1.366470701888200E-02,-1.536220738755500E-01,-1.986111103374920E-02
4.274826810725400E-06,-4.274826810725400E-06,-7.021614213643600E-01,5.224455729841100E-15,3.420472275082000E-01,1.933695974142900E-01,1.366470701888200E-02,-1.536220738755500E-01,-1.986111103374920E-02
-4.274826810725400E-06,-4.274826810725400E-06,-7.021614213643600E-01,5.224455729841100E-15,3.420472275082000E-01,1.933695974142900E-01,1.366470701888200E-02,-1.536220738755500E-01,-1.986111103374920E-02
4.274826810725400E-06,4.274826810725400E-06,-7.022494845605500E-01,5.224455729841100E-15,3.420301849834600E-01,1.936825520944100E-01,1.370965657154600E-02,-1.536107199098900E-01,-1.986030812192930E-02
-4.274826810725400E-06,4.274826810725400E-06,-7.022494845605500E-01,5.224455729841100E-15,3.420301849834600E-01,1.936825520944100E-01,1.370965657154600E-02,-1.536107199098900E-01,-1.986030812192930E-02
4.274826810725400E-06,-4.274826810725400E-06,-7.022494845605500E-01,5.224455729841100E-15,3.420301849834600E-01,1.936825520944100E-01,1.370965657154600E-02,-1.536107199098900E-01,-1.986030812192930E-02
-4.274826810725400E-06,-4.274826810725400E-06,-7.022494845605500E-01,5.224455729841100E-15,3.420301849834600E-01,1.936825520944100E-01,1.370965657154600E-02,-1.536107199098900E-01,-1.986030812192930E-02
4.274826810725400E-06,4.403159809078100E-05,-7.022011781356400E-01,5.224455729841100E-15,3.420395332216900E-01,1.935109594421500E-01,1.368500121590900E-02,-1.536169478157400E-01,-1.986074852883350E-02
-4.274826810725400E-06,4.403159809078100E-05,-7.022011781356400E-01,5.224455729841100E-15,3.420395332216900E-01,1.935109594421500E-01,1.368500121590900E-02,-1.536169478157400E-01,-1.986074852883350E-02
4.274826810725400E-06,-4.403159809078100E-05,-7.022011781356400E-01,5.224455729841100E-15,3.420395332216900E-01,1.935109594421500E-01,1.368500121590900E-02,-1.536169478157400E-01,-1.986074852883350E-02
-4.274826810725400E-06,-4.403159809078100E-05,-7.022011781356400E-01,5.224455729841100E-15,3.420395332216900E-01,1.935109594421500E-01,1.368500121590900E-02,-1.536169478157400E-01,-1.986074852883350E-02
4.274826810725400E-06,4.403159809078100E-05,-7.022097277892700E-01,5.224455729841100E-15,3.420378786407800E-01,1.935413427709100E-01,1.368936516272100E-02,-1.536158455110500E-01,-1.986067057779110E-02
-4.274826810725400E-06,4.403159809078100E-05,-7.022097277892700E-01,5.224455729841100E-15,3.420378786407800E-01,1.935413427709100E-01,1.368936516272100E-02,-1.536158455110500E-01,-1.986067057779110E-02
4.274826810725400E-06,-4.403159809078100E-05,-7.022097277892700E-01,5.224455729841100E-15,3.420378786407800E-01,1.935413427709100E-01,1.368936516272100E-02,-1.536158455110500E-01,-1.986067057779110E-02
-4.274826810725400E-06,-4.403159809078100E-05,-7.022097277892700E-01,5.224455729841100E-15,3.420378786407800E-01,1.935413427709100E-01,1.368936516272100E-02,-1.536158455110500E-01,-1.986067057779110E-02
4.403159809078100E-05,4.274826810725400E-06,-7.022011781356400E-01,5.224455729841100E-15,3.420395332216900E-01,1.935109594421500E-01,1.368500121590900E-02,-1.536169478157400E-01,-1.986074852883350E-02
-4.403159809078100E-05,4.274826810725400E-06,-7.022011781356400E-01,5.224455729841100E-15,3.420395332216900E-01,1.935109594421500E-01,1.368500121590900E-02,-1.536169478157400E-01,-1.986074852883350E-02
4.403159809078100E-05,-4.274826810725400E-06,-7.022011781356400E-01,5.224455729841100E-15,3.420395332216900E-01,1.935109594421500E-01,1.368500121590900E-02,-1.536169478157400E-01,-1.986074852883350E-02
-4.403159809078100E-05,-4.274826810725400E-06,-7.022011781356400E-01,5.224455729841100E-15,3.420395332216900E-01,1.935109594421500E-01,1.368500121590900E-02,-1.536169478157400E-01,-1.986074852883350E-02
4.403159809078100E-05,4.274826810725400E-06,-7.022097277892700E-01,5.224455729841100E-15,3.420378786407800E-01,1.935413427709100E-01,1.368936516272100E-02,-1.536158455110500E-01,-1.986067057779110E-02
-4.403159809078100E-05,4.274826810725400E-06,-7.022097277892700E-01,5.224455729841100E-15,3.420378786407800E-01,1.935413427709100E-01,1.368936516272100E-02,-1.536158455110500E-01,-1.986067057779110E-02
4.403159809078100E-05,-4.274826810725400E-06,-7.022097277892700E-01,5.224455729841100E-15,3.420378786407800E-01,1.935413427709100E-01,1.368936516272100E-02,-1.536158455110500E-01,-1.986067057779110E-02
-4.403159809078100E-05,-4.274826810725400E-06,-7.022097277892700E-01,5.224455729841100E-15,3.420378786407800E-01,1.935413427709100E-01,1.368936516272100E-02,-1.536158455110500E-01,-1.986067057779110E-02
9.865143069698200E-06,9.865143069698200E-06,-7.021632547655300E-01,6.905564470847300E-15,3.420468726713700E-01,1.933761191558800E-01,1.366564294527200E-02,-1.536218374767200E-01,-1.986109431578590E-02
-9.865143069698200E-06,9.865143069698200E-06,-7.021632547655300E-01,6.905564470847300E-15,3.420468726713700E-01,1.933761191558800E-01,1.366564294527200E-02,-1.536218374767200E-01,-1.986109431578590E-02
9.865143069698200E-06,-9.865143069698200E-06,-7.021632547655300E-01,6.905564470847300E-15,3.420468726713700E-01,1.933761191558800E-01,1.366564294527200E-02,-1.536218374767200E-01,-1.986109431578590E-02
-9.865143069698200E-06,-9.865143069698200E-06,-7.021632547655300E-01,6.905564470847300E-15,3.420468726713700E-01,1.933761191558800E-01,1.366564294527200E-02,-1.536218374767200E-01,-1.986109431578590E-02
9.865143069698200E-06,9.865143069698200E-06,-7.022476511593800E-01,6.905564470847300E-15,3.420305397685000E-01,1.936760429232600E-01,1.370872087467700E-02,-1.536109562709600E-01,-1.986032483585710E-02
-9.865143069698200E-06,9.865143069698200E-06,-7.022476511593800E-01,6.905564470847300E-15,3.420305397685000E-01,1.936760429232600E-01,1.370872087467700E-02,-1.536109562709600E-01,-1.986032483585710E-02
9.865143069698200E-06,-9.865143069698200E-06,-7.022476511593800E-01,6.905564470847300E-15,3.420305397685000E-01,1.936760429232600E-01,1.370872087467700E-02,-1.536109562709600E-01,-1.986032483585710E-02
-9.865143069698200E-06,-9.865143069698200E-06,-7.022476511593800E-01,6.905564470847300E-15,3.420305397685000E-01,1.936760429232600E-01,1.370872087467700E-02,-1.536109562709600E-01,-1.986032483585710E-02
9.865143069698200E-06,4.219819692096100E-05,-7.021955878193800E-01,6.905564470847300E-15,3.420406151066000E-01,1.934910897144000E-01,1.368214772798100E-02,-1.536176685832400E-01,-1.986079949927320E-02
-9.865143069698200E-06,4.219819692096100E-05,-7.021955878193800E-01,6.905564470847300E-15,3.420406151066000E-01,1.934910897144000E-01,1.368214772798100E-02,-1.536176685832400E-01,-1.986079949927320E-02
9.865143069698200E-06,-4.219819692096100E-05,-7.021955878193800E-01,6.905564470847300E-15,3.420406151066000E-01,1.934910897144000E-01,1.368214772798100E-02,-1.536176685832400E-01,-1.986079949927320E-02
-9.865143069698200E-06,-4.219819692096100E-05,-7.021955878193800E-01,6.905564470847300E-15,3.420406151066000E-01,1.934910897144000E-01,1.368214772798100E-02,-1.536176685832400E-01,-1.986079949927320E-02
9.865143069698200E-06,4.219819692096100E-05,-7.022153181055200E-01,6.905564470847300E-15,3.420367967817600E-01,1.935612062134600E-01,1.369221853588800E-02,-1.536151247624300E-01,-1.986061960936980E-02
